assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,2001,-58.8,5.18
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-75.1733,6.2386
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-56.8494,5.2178
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.5358,-0.5272
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-78.9408,0.7906
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-63.7625,5.8678
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1993,-53.017,5.0
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-54.8942,5.4144
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-64.5797,3.1269
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-73.0808,7.1217
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,INBio,PreservedSpecimen,1996,-82.65,9.636111
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,1998,-79.2868,9.31929
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,2012,-79.3758,9.2242
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-55.9506,5.2547
